geography,total_electricity
G1700270,206406964.35085943
G5100030,824692674.4309611
G2300230,165216004.9374713
G3701450,325366922.26398516
G4701830,265624186.6032945
G4700190,484387356.148932
G2200230,47656504.76136765
G0100950,718036270.1414328
G2700130,307489872.8524106
G4803430,101048726.50118671
G3901370,186333385.7811789
G3101670,49995819.50384293
G5300150,843930172.0441978
G3000570,61061785.94516047
G5100410,2639427802.6706357
G1800290,321512371.7828632
G4000350,106298230.35996538
G1200590,121184992.18914068
G2100190,480800806.1456063
G0500710,235883169.51057217
G2600510,127923088.07339759
G2801130,329949297.0914364
G3600770,457996229.90581787
G3900770,370843919.6630803
G3601030,7846268015.030562
G0202610,7347626.700100484
G0500750,130812485.17974748
G2601550,312965871.4637721
G3800130,10007712.635849884
G5500510,44661361.0504209
G1800990,253583744.8747025
G0100870,134701105.0296297
G2600890,135797046.8359148
G3701770,17222488.873084437
G5300130,24418588.46601978
G3101490,22224214.40453773
G2801290,129844729.24329741
G4600530,31909213.119798902
G4900310,6213801.126983792
G5101250,164952228.25714543
G3200110,21757430.85785346
G1302250,183817405.67123377
G2100330,87047770.72512062
G3600530,197573170.66434845
G5500650,86265568.49880888
G5501170,704650648.0106034
G3500010,4673664060.627732
G5300270,572481495.9202061
G2901860,127482144.13144052
G2800170,98042138.33347376
G4804530,9875257443.930656
G1901670,147553364.43169606
G1901190,79778717.13971375
G1302050,132656508.60913292
G2800030,306035537.7613679
G3700350,1366956704.0756583
G4800590,79953897.20388421
G2200990,344879326.5478544
G2500270,4417326942.993669
G2600350,172065020.46541768
G2600590,206600899.00202537
G4201110,449560908.090557
G2800990,189836433.0990334
G4803230,325930562.0376964
G5400410,98934846.13929337
G4500170,109887668.40441807
G1800830,267948170.84941977
G3701110,328198900.4949157
G2100630,54554968.381710455
G2701150,183792398.98155692
G4500610,116773455.74817497
G4601020,43890882.85493845
G2100050,153031984.33981174
G1302730,89310174.26202662
G3900210,185521382.42577595
G4804030,127108992.43317035
G4803550,3478372645.620062
G3100790,418164504.4841827
G3100970,23624326.434221968
G1701970,3419824174.8725924
G2200390,284494470.6061154
G1800590,449554340.47316134
G2001490,148794901.94199
G3100650,41227368.073733166
G5501190,86648067.96702483
G1701630,1954074213.9901
G5400210,36168833.75912552
G3101690,38410245.11152667
G3701830,7345129735.218715
G2101830,182749188.93196285
G1302890,58359969.07677202
G5401090,163933564.76300249
